,complete_bonus,beta,eta,alpha,tau,num_visited_per_episode,steps_per_episode,last_station,mean_num_visited,median_steps
1,1,1,1,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[6909, 9848, 6216, 2968, 2405, 2941, 3900, 2806, 2500, 2610]","['Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'West Ruislip (cw)', 'Stanmore (jw)', 'Walthamstow Central (vn)', 'Chesham (mn)', 'Cockfosters (pe)', 'Walthamstow Central (vn)', 'High Barnet (nn)']",272.0,2954.5
17,1,100,100,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[3632, 8423, 4069, 5297, 3739, 3336, 3952, 4759, 4053, 3655]","['Heathrow Terminal 4 (pw)', 'Heathrow Terminal 5 (pw)', 'Lambeth North (bn)', 'Highbury & Islington (vn)', 'Lambeth North (bs)', 'Covent Garden (pw)', 'Highbury & Islington (vn)', 'Heathrow Terminal 5 (pw)', 'Mill Hill East (nn)', 'Old Street (ns)']",272.0,4002.5
3,1,1,10,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[6142, 15944, 7259, 5175, 4157, 3755, 3860, 3573, 3232, 3445]","['Chesham (mn)', 'Amersham (mn)', 'Hyde Park Corner (pe)', 'Highbury & Islington (vn)', 'Mill Hill East (nn)', 'Epping (ce)', 'Epping (ce)', 'West Acton (cw)', 'Watford (mn)', 'Cockfosters (pe)']",272.0,4008.5
15,1,100,10,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[5263, 14992, 5345, 4415, 4931, 3286, 3346, 3617, 2577, 2587]","['Amersham (mn)', 'Chesham (mn)', 'Edgware (nn)', 'St Jamess Park (rdw)', 'Stanmore (jw)', 'Brixton (vs)', 'Barbican (rhme)', 'Stanmore (jw)', 'Uxbridge (mpn)', 'Vauxhall (vs)']",272.0,4016.0
9,1,10,10,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[5970, 15183, 5678, 5725, 4236, 3970, 3946, 2953, 3728, 3658]","['Amersham (mn)', 'Chesham (mn)', 'Euston Square (rhme)', 'Regents Park (bn)', 'Highbury & Islington (vn)', 'Mill Hill East (nn)', 'Richmond (dw)', 'Regents Park (bn)', 'Russell Square (pw)', 'Clapham North (nn)']",272.0,4103.0
13,1,100,1,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[4490, 5795, 12896, 7177, 5300, 3950, 3769, 2850, 2708, 2562]","['Heathrow Terminal 4 (pw)', 'Amersham (mn)', 'Chesham (mn)', 'Amersham (mn)', 'Mill Hill East (nn)', 'Oval (nn)', 'Pimlico (vn)', 'Kentish Town (ns)', 'Arsenal (pe)', 'Upminster (de)']",272.0,4220.0
7,1,10,1,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[4749, 13885, 12383, 4450, 4496, 3607, 3994, 2275, 3505, 3308]","['Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'Canning Town (je)', 'High Barnet (nn)', 'Epping (ce)', 'Upminster (de)', 'Highbury & Islington (vn)', 'Mill Hill East (nn)', 'West Ruislip (cw)']",272.0,4222.0
25,10,10,1,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[4705, 11610, 4331, 7782, 4149, 3927, 2450, 3245, 2962, 4996]","['Amersham (mn)', 'Chesham (mn)', 'Uxbridge (mpn)', 'Watford (mn)', 'Edgware (nn)', 'High Barnet (nn)', 'Highbury & Islington (vn)', 'West Finchley (ns)', 'Brixton (vs)', 'Mill Hill East (nn)']",272.0,4240.0
2,1,1,10,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[8799, 5833, 7461, 8505, 4188, 4213, 3432, 4577, 4724, 3404]","['Heathrow Terminal 5 (pw)', 'Harrow & Wealdstone (bn)', 'Heathrow Terminal 4 (pw)', 'Heathrow Terminal 5 (pw)', 'Heathrow Terminal 4 (pw)', 'High Barnet (nn)', 'Stanmore (jw)', 'Mill Hill East (nn)', 'Battersea Power Station (ns)', 'Edgware (nn)']",272.0,4650.5
49,100,100,1,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[4963, 7161, 9495, 8055, 4215, 2895, 4804, 3978, 2973, 11063]","['Heathrow Terminal 4 (pw)', 'Heathrow Terminal 5 (pw)', 'Heathrow Terminal 4 (pw)', 'Heathrow Terminal 5 (pw)', 'Russell Square (pw)', 'Barbican (rhme)', 'Temple (rdw)', 'Highbury & Islington (vn)', 'Goldhawk Road (rhw)', 'Seven Sisters (vs)']",272.0,4883.5
