station1,station2,time,dist,line,flag,id1,id2,direction1,direction2,id0,station1_count,2d
Kenton (bn),Harrow & Wealdstone (bn),150,1740,b,t,126.1,101.1,n,n,126,8,FALSE
South Kenton (bn),Kenton (bn),120,1400,b,t,208.1,126.1,n,n,208,6,TRUE
North Wembley (bn),South Kenton (bn),120,900,b,t,162.1,208.1,n,n,162,6,TRUE
Wembley Central (bn),North Wembley (bn),120,1270,b,t,251.1,162.1,n,n,251,6,TRUE
Stonebridge Park (bn),Wembley Central (bn),150,1710,b,t,222.1,251.1,n,n,222,6,TRUE
Harlesden (bn),Stonebridge Park (bn),150,1530,b,t,100.1,222.1,n,n,100,6,TRUE
Willesden Junction (bn),Harlesden (bn),120,1050,b,t,266.1,100.1,n,n,266,6,TRUE
Kensal Green (bn),Willesden Junction (bn),180,1500,b,t,123.1,266.1,n,n,123,6,TRUE
Queens Park (bn),Kensal Green (bn),180,1320,b,t,185.1,123.1,n,n,185,6,TRUE
Kilburn Park (bn),Queens Park (bn),150,790,b,t,129.1,185.1,n,n,129,6,TRUE
Maida Vale (bn),Kilburn Park (bn),120,880,b,t,143.1,129.1,n,n,143,6,TRUE
Warwick Avenue (bn),Maida Vale (bn),90,790,b,t,248.1,143.1,n,n,248,6,TRUE
Paddington (BRD) (bn),Warwick Avenue (bn),120,880,b,t,174.1,248.1,n,n,174,13,FALSE
Edgware Road (B) (bn),Paddington (BRD) (bn),120,720,b,t,71.1,174.1,n,n,71,6,TRUE
Marylebone (bn),Edgware Road (B) (bn),60,450,b,t,147.1,71.1,n,n,147,6,TRUE
Baker Street (bn),Marylebone (bn),60,500,b,t,10.1,147.1,n,n,10,24,FALSE
Regents Park (bn),Baker Street (bn),120,880,b,t,191.1,10.1,n,n,191,6,TRUE
Oxford Circus (bn),Regents Park (bn),120,870,b,t,173.1,191.1,n,n,173,18,FALSE
Piccadilly Circus (bn),Oxford Circus (bn),120,970,b,t,179.1,173.1,n,n,179,12,FALSE
Charing Cross (bn),Piccadilly Circus (bn),120,550,b,t,45.1,179.1,n,n,45,12,FALSE
Embankment (bn),Charing Cross (bn),60,370,b,t,75.1,45.1,n,n,75,18,FALSE
Waterloo (bn),Embankment (bn),90,710,b,t,249.1,75.1,n,n,249,21,FALSE
Lambeth North (bn),Waterloo (bn),120,630,b,t,134.1,249.1,n,n,134,6,TRUE
Elephant & Castle (bn),Lambeth North (bn),120,820,b,t,73.1,134.1,n,n,73,9,FALSE
Harrow & Wealdstone (bs),Kenton (bs),150,1740,b,t,101.2,126.2,s,s,101,3,FALSE
Kenton (bs),South Kenton (bs),120,1400,b,t,126.2,208.2,s,s,126,8,FALSE
South Kenton (bs),North Wembley (bs),120,900,b,t,208.2,162.2,s,s,208,6,TRUE
North Wembley (bs),Wembley Central (bs),120,1270,b,t,162.2,251.2,s,s,162,6,TRUE
Wembley Central (bs),Stonebridge Park (bs),150,1710,b,t,251.2,222.2,s,s,251,6,TRUE
Stonebridge Park (bs),Harlesden (bs),150,1530,b,t,222.2,100.2,s,s,222,6,TRUE
Harlesden (bs),Willesden Junction (bs),120,1050,b,t,100.2,266.2,s,s,100,6,TRUE
Willesden Junction (bs),Kensal Green (bs),180,1500,b,t,266.2,123.2,s,s,266,6,TRUE
Kensal Green (bs),Queens Park (bs),180,1320,b,t,123.2,185.2,s,s,123,6,TRUE
Queens Park (bs),Kilburn Park (bs),150,790,b,t,185.2,129.2,s,s,185,6,TRUE
Kilburn Park (bs),Maida Vale (bs),120,880,b,t,129.2,143.3,s,s,129,6,TRUE
Maida Vale (bs),Warwick Avenue (bs),90,790,b,t,143.3,248.2,s,s,143,6,TRUE
Warwick Avenue (bs),Paddington (BRD) (bs),120,880,b,t,248.2,174.2,s,s,248,6,TRUE
Paddington (BRD) (bs),Edgware Road (B) (bs),120,720,b,t,174.2,71.2,s,s,174,13,FALSE
Edgware Road (B) (bs),Marylebone (bs),60,450,b,t,71.2,147.2,s,s,71,6,TRUE
Marylebone (bs),Baker Street (bs),60,500,b,t,147.2,10.2,s,s,147,6,TRUE
Baker Street (bs),Regents Park (bs),120,880,b,t,10.2,191.2,s,s,10,24,FALSE
Regents Park (bs),Oxford Circus (bs),120,870,b,t,191.2,173.2,s,s,191,6,TRUE
Oxford Circus (bs),Piccadilly Circus (bs),120,970,b,t,173.2,179.2,s,s,173,18,FALSE
Piccadilly Circus (bs),Charing Cross (bs),120,550,b,t,179.2,45.2,s,s,179,12,FALSE
Charing Cross (bs),Embankment (bs),60,370,b,t,45.2,75.2,s,s,45,12,FALSE
Embankment (bs),Waterloo (bs),90,710,b,t,75.2,249.2,s,s,75,18,FALSE
Waterloo (bs),Lambeth North (bs),120,630,b,t,249.2,134.2,s,s,249,21,FALSE
Lambeth North (bs),Elephant & Castle (bs),120,820,b,t,134.2,73.2,s,s,134,6,TRUE
Epping (cw),Theydon Bois (cw),165,2540,c,t,76.2,228.2,w,w,76,3,FALSE
Theydon Bois (cw),Debden (cw),210,3350,c,t,228.2,60.2,w,w,228,6,TRUE
Debden (cw),Loughton (cw),180,2030,c,t,60.2,142.2,w,w,60,6,TRUE
Loughton (cw),Buckhurst Hill (cw),150,1830,c,t,142.2,33.2,w,w,142,6,TRUE
Buckhurst Hill (cw),Woodford (cw1),165,2320,c,t,33.2,271.3,w,w,33,6,TRUE
Grange Hill (cw),Hainault (cw),120,1130,c,t,90.2,95.2,w,w,90,6,TRUE
Chigwell (cw),Grange Hill (cw),120,1320,c,t,47.2,90.2,w,w,47,6,TRUE
Roding Valley (cw),Chigwell (cw),210,2280,c,t,194.2,47.2,w,w,194,6,TRUE
Woodford (cw2),Roding Valley (cw),150,1340,c,t,271.4,194.2,w,w,271,9,FALSE
Woodford (cw1),South Woodford (cw),135,1800,c,t,271.3,211.2,w,w,271,9,FALSE
South Woodford (cw),Snaresbrook (cw),120,1290,c,t,211.2,204.2,w,w,211,6,TRUE
Snaresbrook (cw),Leytonstone (cw),165,1580,c,t,204.2,139.2,w,w,204,7,FALSE
Hainault (cw),Fairlop (cw),120,760,c,t,95.2,79.2,w,w,95,6,TRUE
Fairlop (cw),Barkingside (cw),105,1220,c,t,79.2,15.2,w,w,79,6,TRUE
Barkingside (cw),Newbury Park (cw),120,1110,c,t,15.2,156.2,w,w,15,6,TRUE
Newbury Park (cw),Gants Hill (cw),180,2370,c,t,156.2,85.2,w,w,156,6,TRUE
Gants Hill (cw),Redbridge (cw),105,1270,c,t,85.2,190.2,w,w,85,6,TRUE
Redbridge (cw),Wanstead (cw),120,1220,c,t,190.2,246.2,w,w,190,6,TRUE
Wanstead (cw),Leytonstone (cw),165,1720,c,t,246.2,139.2,w,w,246,6,TRUE
Leytonstone (cw),Leyton (cw),135,1630,c,t,139.2,138.2,w,w,139,7,FALSE
Leyton (cw),Stratford (cw),165,2090,c,t,138.2,223.2,w,w,138,6,TRUE
Stratford (cw),Mile End (cw),210,2830,c,t,223.2,148.2,w,w,223,9,FALSE
Mile End (cw),Bethnal Green (cw),165,1640,c,t,148.2,22.2,w,w,148,12,FALSE
Bethnal Green (cw),Liverpool Street (cw),195,2270,c,t,22.2,140.2,w,w,22,6,TRUE
Liverpool Street (cw),Bank (cw),120,740,c,t,140.2,12.2,w,w,140,13,FALSE
Bank (cw),St Pauls (cw),105,740,c,t,12.2,217.2,w,w,12,16,FALSE
St Pauls (cw),Chancery Lane (cw),120,1030,c,t,217.2,44.2,w,w,217,6,TRUE
Chancery Lane (cw),Holborn (cw),75,400,c,t,44.2,113.2,w,w,44,6,TRUE
Holborn (cw),Tottenham Court Road (cw),105,890,c,t,113.2,231.2,w,w,113,12,FALSE
Tottenham Court Road (cw),Oxford Circus (cw),75,580,c,t,231.2,173.4,w,w,231,12,FALSE
Oxford Circus (cw),Bond Street (cw),90,660,c,t,173.4,25.2,w,w,173,18,FALSE
Bond Street (cw),Marble Arch (cw),90,550,c,t,25.2,146.2,w,w,25,12,FALSE
Marble Arch (cw),Lancaster Gate (cw),105,1210,c,t,146.2,135.2,w,w,146,6,TRUE
Lancaster Gate (cw),Queensway (cw),120,900,c,t,135.2,187.2,w,w,135,6,TRUE
Queensway (cw),Notting Hill Gate (cw),90,690,c,t,187.2,168.2,w,w,187,6,TRUE
Notting Hill Gate (cw),Holland Park (cw),90,610,c,t,168.2,114.2,w,w,168,12,FALSE
Holland Park (cw),Shepherds Bush (cw),105,870,c,t,114.2,201.2,w,w,114,6,TRUE
Shepherds Bush (cw),White City (cw),195,1160,c,t,201.2,263.2,w,w,201,7,FALSE
White City (cw),East Acton (cw),165,2060,c,t,263.2,65.2,w,w,263,6,TRUE
East Acton (cw),North Acton (cw),120,1110,c,t,65.2,158.2,w,w,65,6,TRUE
North Acton (cw),West Acton (cw),165,1770,c,t,158.2,253.2,w,w,158,7,FALSE
