station1,station2,id1,id2,order
Start,Chesham,0,46,432
Chesham,Chesham (ms),46,46.2,431
Chesham (ms),Chalfont & Latimer (ms),46.2,42.2,430
Chalfont & Latimer (ms),Chalfont & Latimer,42.2,42,429
Chalfont & Latimer,Chalfont & Latimer (mn),42,42.1,428
Chalfont & Latimer (mn),Amersham (mn),42.1,5.1,427
Amersham (mn),Amersham,5.1,5,426
Amersham,Amersham (ms),5,5.2,425
Amersham (ms),Chalfont & Latimer (ms),5.2,42.2,424
Chalfont & Latimer (ms),Chorleywood (ms),42.2,49.2,423
Chorleywood (ms),Rickmansworth (ms),49.2,193.2,422
Rickmansworth (ms),Moor Park (ms),193.2,151.2,421
Moor Park (ms),Moor Park,151.2,151,420
Moor Park,Moor Park (mn),151,151.1,419
Moor Park (mn),Croxley (mn),151.1,57.1,418
Croxley (mn),Watford (mn),57.1,250.1,417
Watford (mn),Watford,250.1,250,416
Watford,Watford (ms),250,250.2,415
Watford (ms),Croxley (ms),250.2,57.2,414
Croxley (ms),Moor Park (ms),57.2,151.2,413
Moor Park (ms),Northwood (ms),151.2,166.2,412
Northwood (ms),Northwood Hills (ms),166.2,167.2,411
Northwood Hills (ms),Pinner (ms),167.2,181.2,410
Pinner (ms),North Harrow (ms),181.2,161.2,409
North Harrow (ms),North Harrow,161.2,161,408
North Harrow,Rayners Lane,161,189,407
Rayners Lane,Rayners Lane (mps),189,189.2,406
Rayners Lane (mps),South Harrow (pe),189.2,206.1,405
South Harrow (pe),Sudbury Hill (pe),206.1,224.1,404
Sudbury Hill (pe),Sudbury Town (pe),224.1,225.1,403
Sudbury Town (pe),Alperton (pe),225.1,4.1,402
Alperton (pe),Park Royal (pe),4.1,176.1,401
Park Royal (pe),North Ealing (pe),176.1,159.1,400
North Ealing (pe),Ealing Common (pe),159.1,63.3,399
Ealing Common (pe),Ealing Common,63.3,63,398
Ealing Common,Ealing Common (dw),63,63.2,397
Ealing Common (dw),Ealing Broadway (dw),63.2,62.4,396
Ealing Broadway (dw),Ealing Broadway,62.4,62,395
Ealing Broadway,Ealing Broadway (ce),62,62.1,394
Ealing Broadway (ce),West Acton (ce),62.1,253.1,393
West Acton (ce),North Acton (ce),253.1,158.1,392
North Acton (ce),East Acton (ce),158.1,65.1,391
East Acton (ce),East Acton,65.1,65,390
East Acton,East Acton (cw),65,65.2,389
East Acton (cw),North Acton (cw),65.2,158.2,388
North Acton (cw),Hanger Lane (cw),158.2,99.2,387
Hanger Lane (cw),Perivale (cw),99.2,178.2,386
Perivale (cw),Greenford (cw),178.2,93.2,385
