id,INT?,station,longitude,latitude,zone,flag,map x,map y
0,TRUE,Start,,,,,,
1,TRUE,Acton Town,-0.2801,51.5028,3,s,2.8068,4.4331
1.1,FALSE,Acton Town (de),,,,p,,
1.2,FALSE,Acton Town (dw),,,,p,,
1.3,FALSE,Acton Town (pe),,,,p,,
1.4,FALSE,Acton Town (pw),,,,p,,
2,TRUE,Aldgate,-0.0755,51.5143,1,s,7.0067,3.871
2.1,FALSE,Aldgate (rme),,,,p,,
2.2,FALSE,Aldgate (rmw),,,,p,,
3,TRUE,Aldgate East,-0.0726,51.5154,1,s,7.1934,3.7193
3.1,FALSE,Aldgate East (dhe),,,,p,,
3.2,FALSE,Aldgate East (dhw),,,,p,,
4,TRUE,Alperton,-0.2997,51.5407,4,s,2.7223,2.9729
4.1,FALSE,Alperton (pe),,,,p,,
4.2,FALSE,Alperton (pw),,,,p,,
5,TRUE,Amersham,-0.607,51.6736,9,s,1.4656,1.2568
5.1,FALSE,Amersham (mn),,,,p,,
5.2,FALSE,Amersham (ms),,,,p,,
6,TRUE,Angel,-0.1058,51.5322,1,s,6.2986,3.3147
6.1,FALSE,Angel (nn),,,,p,,
6.2,FALSE,Angel (ns),,,,p,,
7,TRUE,Archway,-0.1353,51.5653,"2,3",s,6.0068,2.1942
7.1,FALSE,Archway (nn),,,,p,,
7.2,FALSE,Archway (ns),,,,p,,
8,TRUE,Arnos Grove,-0.1331,51.6164,4,s,6.8978,1.6223
8.1,FALSE,Arnos Grove (pe),,,,p,,
8.2,FALSE,Arnos Grove (pw),,,,p,,
9,TRUE,Arsenal,-0.1059,51.5586,2,s,6.6429,2.4938
9.1,FALSE,Arsenal (pe),,,,p,,
9.2,FALSE,Arsenal (pw),,,,p,,
10,TRUE,Baker Street,-0.1571,51.5226,1,s,4.8942,3.2738
10.1,FALSE,Baker Street (bn),,,,p,,
10.2,FALSE,Baker Street (bs),,,,p,,
10.3,FALSE,Baker Street (je),,,,p,,
10.4,FALSE,Baker Street (jw),,,,p,,
10.5,FALSE,Baker Street (mn),,,,p,,
10.6,FALSE,Baker Street (ms),,,,p,,
